Timestamp,Email Address,Domain,MX Record,Used Port,Disposable Email,SPF Status,DKIM Status,Catch-all Email,SMTP Result,SMTP VRFY Result,Blacklist Info,MX Preferences,SMTP Banner,MX IP,Error Message,IMAP Status,IMAP Banner,POP3 Status,POP3 Banner,Search Counter
22-02-25 14:41,ot@agipe.ie,agipe.ie,No MX Records,N/A,Not Disposable,N/A,N/A,,Could not verify email,N/A,Not Blacklisted,N/A,N/A,N/A,No MX records found,,,,,1
22-02-25 14:41,zevhed@jacsisu.mw,jacsisu.mw,No MX Records,N/A,Not Disposable,N/A,N/A,,Could not verify email,N/A,Not Blacklisted,N/A,N/A,N/A,No MX records found,,,,,1
22-02-25 14:41,fogovaz@wekhow.bj,wekhow.bj,No MX Records,N/A,Not Disposable,N/A,N/A,,Could not verify email,N/A,Not Blacklisted,N/A,N/A,N/A,No MX records found,,,,,1
22-02-25 14:41,fo@jabi.om,jabi.om,No MX Records,N/A,Not Disposable,N/A,N/A,,Could not verify email,N/A,Not Blacklisted,N/A,N/A,N/A,No MX records found,,,,,1
22-02-25 14:41,wa@siken.do,siken.do,No MX Records,N/A,Not Disposable,N/A,N/A,,Could not verify email,N/A,Not Blacklisted,N/A,N/A,N/A,No MX records found,,,,,1
22-02-25 14:41,dijvuade@elejim.uk,elejim.uk,No MX Records,N/A,Not Disposable,N/A,N/A,,Could not verify email,N/A,Not Blacklisted,N/A,N/A,N/A,No MX records found,,,,,1
22-02-25 14:42,div@odi.at,odi.at,mail.odi.at,N/A,Not Disposable,SPF Found,No DKIM Record,,Could not verify email,Not Verified,Not Blacklisted,10,mx10lb.world4you.com Hello [192.168.1.72] [87.62.96.56] SIZE 157286400 8BITMIME PIPELINING PIPECONNECT AUTH LOGIN PLAIN STARTTLS HELP,81.19.149.86,SMTP check failed. Could not verify email.,Available,* OK [CAPABILITY IMAP4rev1 SASL-IR LOGIN-REFERRALS ID ENABLE IDLE LITERAL+ AUTH=PLAIN AUTH=LOGIN] Dovecot ready.,Available,+OK Dovecot ready.,1
22-02-25 14:42,ebujuhcip@avusa.com,avusa.com,No MX Records,N/A,Not Disposable,N/A,N/A,,Could not verify email,N/A,Not Blacklisted,N/A,N/A,N/A,No MX records found,,,,,1
22-02-25 14:42,zecfausa@cuom.gt,cuom.gt,No MX Records,N/A,Not Disposable,N/A,N/A,,Could not verify email,N/A,Not Blacklisted,N/A,N/A,N/A,No MX records found,,,,,1
22-02-25 14:42,nekojpo@mi.tt,mi.tt,No MX Records,N/A,Not Disposable,N/A,N/A,,Could not verify email,N/A,Not Blacklisted,N/A,N/A,N/A,No MX records found,,,,,1
